10106	Los Muermos	Llanquihue	Los Lagos	16522
10107	Llanquihue	Llanquihue	Los Lagos	18151
10108	Maullín	Llanquihue	Los Lagos	13914
10109	Puerto Varas	Llanquihue	Los Lagos	39414
10201	Castro	Chiloé	Los Lagos	50764
10202	Ancud	Chiloé	Los Lagos	41960
10203	Chonchi	Chiloé	Los Lagos	14639
10204	Curaco de Vélez	Chiloé	Los Lagos	3884
10205	Dalcahue	Chiloé	Los Lagos	14548
10206	Puqueldón	Chiloé	Los Lagos	4097
10207	Queilén	Chiloé	Los Lagos	5319
10208	Quellón	Chiloé	Los Lagos	30964
10209	Quemchi	Chiloé	Los Lagos	9191
10210	Quinchao	Chiloé	Los Lagos	9043
10301	Osorno	Osorno	Los Lagos	153797
10302	Puerto Octay	Osorno	Los Lagos	9480
10303	Purranque	Osorno	Los Lagos	20768
10304	Puyehue	Osorno	Los Lagos	11370
10305	Río Negro	Osorno	Los Lagos	13425
10306	San Juan de la Costa	Osorno	Los Lagos	7997
10307	San Pablo	Osorno	Los Lagos	9150
10401	Chaitén	Palena	Los Lagos	7122
10402	Futaleufú	Palena	Los Lagos	1836
10403	Hualaihué	Palena	Los Lagos	8426
10404	Palena	Palena	Los Lagos	1665
11101	Coyhaique	Coyhaique	Aysén del General Carlos Ibáñez del Campo	59221
11102	Lago Verde	Coyhaique	Aysén del General Carlos Ibáñez del Campo	925
11201	Aysén	Aysén	Aysén del General Carlos Ibáñez del Campo	27187
11202	Cisnes	Aysén	Aysén del General Carlos Ibáñez del Campo	6166
11203	Guaitecas	Aysén	Aysén del General Carlos Ibáñez del Campo	1862
11301	Cochrane	Capitán Prat	Aysén del General Carlos Ibáñez del Campo	2759
11302	O'Higgins	Capitán Prat	Aysén del General Carlos Ibáñez del Campo	700
11303	Tortel	Capitán Prat	Aysén del General Carlos Ibáñez del Campo	531
11401	Chile Chico	General Carrera	Aysén del General Carlos Ibáñez del Campo	5334
11402	Río Ibáñez	General Carrera	Aysén del General Carlos Ibáñez del Campo	2208
