060553	Monte Hermoso	MU	06	Buenos Aires	-38.961624	-61.292147	8465	
060560	Moreno	MU	06	Buenos Aires	-34.610681	-58.810899	576632	
060568	Morón	MU	06	Buenos Aires	-34.649386	-58.619832	331183	
060574	Navarro	MU	06	Buenos Aires	-35.030484	-59.429359	19899	
060581	Necochea	MU	06	Buenos Aires	-38.255411	-59.167387	102110	
060588	9 de Julio	MU	06	Buenos Aires	-35.481227	-60.975425	52607	
060595	Olavarría	MU	06	Buenos Aires	-36.857634	-60.670205	125751	
060602	Patagones	MU	06	Buenos Aires	-40.196385	-62.850804	37646	
060609	Pehuajó	MU	06	Buenos Aires	-35.883621	-61.928126	44783	
060616	Pellegrini	MU	06	Buenos Aires	-36.271192	-63.225752	7143	
060623	Pergamino	MU	06	Buenos Aires	-33.836067	-60.544783	115340	
060630	Pila	MU	06	Buenos Aires	-36.202984	-58.340443	4642	
060638	Pilar	MU	06	Buenos Aires	-34.448164	-58.903333	394754	
060644	Pinamar	MU	06	Buenos Aires	-37.111074	-56.870283	39449	
060648	Presidente Perón	MU	06	Buenos Aires	-34.929848	-58.398084	102106	
060651	Puan	MU	06	Buenos Aires	-38.076076	-63.057433	16613	Puán
060655	Punta Indio	MU	06	Buenos Aires	-35.426056	-57.399234	12297	
060658	Quilmes	MU	06	Buenos Aires	-34.734971	-58.276858	633391	
060665	Ramallo	MU	06	Buenos Aires	-33.587187	-60.057508	39730	
060672	Rauch	MU	06	Buenos Aires	-36.572194	-58.944141	16635	
060679	Rivadavia	MU	06	Buenos Aires	-35.581057	-63.094761	19849	
060686	Rojas	MU	06	Buenos Aires	-34.192817	-60.788023	25627	
060693	Roque Pérez	MU	06	Buenos Aires	-35.481636	-59.357512	13977	
060700	Saavedra	MU	06	Buenos Aires	-37.770638	-62.434383	22347	
060707	Saladillo	MU	06	Buenos Aires	-35.676806	-59.702661	35656	
060714	Salto	MU	06	Buenos Aires	-34.271078	-60.305288	39425	
060721	Salliqueló	MU	06	Buenos Aires	-36.671778	-63.047974	9427	
060728	San Andrés de Giles	MU	06	Buenos Aires	-34.437731	-59.473199	26510	
060735	San Antonio de Areco	MU	06	Buenos Aires	-34.220757	-59.519443	26897	
060742	San Cayetano	MU	06	Buenos Aires	-38.389073	-59.586326	8994	
060749	San Fernando	MU	06	Buenos Aires	-34.155836	-58.534582	171616	
060756	San Isidro	MU	06	Buenos Aires	-34.486893	-58.537209	297282	
060760	San Miguel	MU	06	Buenos Aires	-34.552134	-58.691784	328835	
060763	San Nicolás	MU	06	Buenos Aires	-33.482987	-60.293149	168041	
060770	San Pedro	MU	06	Buenos Aires	-33.780986	-59.782626	68613	
060778	San Vicente	MU	06	Buenos Aires	-35.071509	-58.431812	98215	
060784	Suipacha	MU	06	Buenos Aires	-34.748574	-59.703386	11786	
060791	Tandil	MU	06	Buenos Aires	-37.336429	-59.181983	145575	
060798	Tapalqué	MU	06	Buenos Aires	-36.347144	-60.131065	10783	
060805	Tigre	MU	06	Buenos Aires	-34.38202	-58.588174	446949	
060812	Tordillo	MU	06	Buenos Aires	-36.390515	-57.273812	2542	
060819	Tornquist	MU	06	Buenos Aires	-38.257642	-62.290566	14810	
